,ogniwa fotowoltaiczne [GWh],ogółem [GWh],moc [MW],moc �rednia [MW]
2010,0,157658,"0.033",
2011,0,163548,"1.125","0.579"
2012,1,162139,"1.29","1.2075"
2013,1,164557,"1.901","1.5955"
2014,7,159058,"21.004","11.4525"
2015,57,164944,"71.031","46.0175"
2016,124,166634,"99.098","85.0645"
2017,165,170465,"103.896","101.497"
2018,300,170039,"146.995","125.4455"
2019,711,163989,"477.679","312.337"
2020,1958,158043,"887.434","682.5565"
